Year,Month,Day,Hour,Minute,Second,Millisecond,Current,Voltage,ActivePwr,ReactvPwr,Frequency
2019,04,17,17,51,44,256199,0.0021,227.0,0.38,0.24,59.637
2019,04,17,17,51,44,324261,0.0019,227.0,0.37,0.23,59.662
2019,04,17,17,51,44,392604,0.0017,227.0,0.34,0.23,59.687
2019,04,17,17,51,44,460021,0.0017,226.9,0.33,0.25,59.687
2019,04,17,17,51,44,520416,0.0017,226.9,0.37,0.22,59.687
2019,04,17,17,51,44,594702,0.0019,226.9,0.38,0.22,59.687
2019,04,17,17,51,44,655538,0.0019,226.9,0.37,0.23,59.687
2019,04,17,17,51,44,728408,0.0017,226.9,0.35,0.26,59.662
2019,04,17,17,51,44,861407,0.0019,226.9,0.37,0.25,59.637
2019,04,17,17,51,44,988911,0.0021,227.0,0.42,0.23,59.637
2019,04,17,17,51,45,057110,0.0021,227.0,0.42,0.24,59.637
2019,04,17,17,51,45,126681,0.0021,227.0,0.4,0.25,59.637
2019,04,17,17,51,45,195362,0.0021,227.0,0.4,0.22,59.637
2019,04,17,17,51,45,253854,0.0021,227.1,0.38,0.22,59.637
2019,04,17,17,51,45,336238,0.0019,227.1,0.38,0.26,59.637
2019,04,17,17,51,45,520020,0.0019,227.1,0.38,0.23,59.637
2019,04,17,17,51,45,585678,0.0021,227.1,0.4,0.21,59.637
2019,04,17,17,51,45,654394,0.0019,227.2,0.38,0.21,59.637
2019,04,17,17,51,45,720659,0.0021,227.1,0.36,0.24,59.637
2019,04,17,17,51,45,786759,0.0021,227.2,0.39,0.22,59.637
2019,04,17,17,51,45,852408,0.0019,227.2,0.39,0.24,59.637
2019,04,17,17,51,45,987719,0.0019,227.1,0.37,0.2,59.687
2019,04,17,17,51,46,059170,0.0017,227.0,0.35,0.23,59.687
2019,04,17,17,51,46,127759,0.0017,227.0,0.33,0.21,59.687
2019,04,17,17,51,46,252479,0.0019,227.0,0.39,0.25,59.687
2019,04,17,17,51,46,387174,0.0019,227.1,0.38,0.21,59.687
2019,04,17,17,51,46,459547,0.0019,226.9,0.39,0.24,59.687
2019,04,17,17,51,46,518867,0.0098,226.9,1.09,0.07,59.687
2019,04,17,17,51,46,586528,0.0132,226.9,1.57,0.01,59.687
2019,04,17,17,51,46,657493,0.0134,227.0,1.56,0.0,59.687
2019,04,17,17,51,46,728725,0.0132,227.0,1.58,0.0,59.687
2019,04,17,17,51,46,786708,0.0132,227.0,1.58,0.04,59.687
2019,04,17,17,51,46,853836,0.0128,227.0,1.54,0.04,59.687
2019,04,17,17,51,46,921110,0.0126,227.0,1.51,0.0,59.687
2019,04,17,17,51,46,991805,0.0134,227.0,1.62,0.03,59.687
2019,04,17,17,51,47,061219,0.0152,227.1,1.81,0.08,59.687
2019,04,17,17,51,47,186830,0.0154,227.0,1.8,0.06,59.687
2019,04,17,17,51,47,253031,0.0154,226.9,1.83,0.07,59.687
2019,04,17,17,51,47,321912,0.0156,226.9,1.86,0.08,59.687
2019,04,17,17,51,47,394627,0.0154,226.9,1.85,0.08,59.687
2019,04,17,17,51,47,456389,0.0158,227.0,1.9,0.06,59.687
2019,04,17,17,51,47,527297,0.0154,227.0,1.86,0.06,59.687
2019,04,17,17,51,47,586941,0.016,226.9,1.9,0.09,59.637
2019,04,17,17,51,47,659286,0.0169,226.9,2.01,0.08,59.687
2019,04,17,17,51,47,727536,0.0171,226.9,2.02,0.12,59.687
2019,04,17,17,51,47,785451,0.0171,226.9,2.03,0.09,59.662
2019,04,17,17,51,47,853549,0.0171,226.9,2.03,0.09,59.662
2019,04,17,17,51,47,920856,0.0171,226.9,2.06,0.12,59.687
2019,04,17,17,51,47,993350,0.0166,227.0,2.02,0.1,59.637
2019,04,17,17,51,48,120874,0.0158,227.0,1.88,0.05,59.687
